,Model,Recall_score,Acc_Score,Precission_score
0,Origin_clf_mlpc,0.28164173069146786,0.28164173069146786,0.28164173069146786
1,Origin_gnb,0.35402345329559237,0.35402345329559237,0.35402345329559237
2,Origin_NearCentroid,0.21674080064698747,0.21674080064698747,0.21674080064698747
3,Origin_knn,0.2572786089769511,0.2572786089769511,0.2572786089769511
4,Destiny_clf_mlpc,0.3132834613829357,0.3132834613829357,0.3132834613829357
5,Destiny_gnb,0.23220784472300848,0.23220784472300848,0.23220784472300848
6,Destiny_NearCentroid,0.29114435907804287,0.29114435907804287,0.29114435907804287
7,Destiny_knn,0.28639304488475537,0.28639304488475537,0.28639304488475537
